@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" not very after better ", P
" even good really well most make ", P
" not like very up great also after make little know scene real ", P
" good well great movies did ", P
" not more no great because think seen plot does ", P
" not like more up people dont movies them best seen love know did ", P
" not like very up because dont life while ", P
" not more really get most movies many seen characters does ", P
" much get into because also then best your ", P
" not like more very even up really much get well great into because people first most also movies then think any make best seen life your real does while ", P
" really ", P
" not like very up good really great because people dont them way think many any could seen love know did life real better ", P
" very good really get movies never ", P
" not good well great also acting little did ", P
" not more very much bad people most movies way too many make little best love did life real ", P
" not like very even up no really much get dont them two after little characters your better while ", P
" not even great because people most also movies being make best watch ever life real never ", P
" not more good much get great because people first also them then many being make best seen know scene life does scenes while never another ", P
" like more great because people most way think many make characters where ", P
" not like well people too think after being make little love life character real better does never ", P
" not more very much well into never ", P
" not more up good get well great dont most also movies too then many two seen know ever life character while never ", P
" not like first way then acting little best seen characters ever where character plot ", P
" not like more up really because people movies too made could best watch love scene ever where real while ", P
" not more no well too think acting best your better does ", P
" not like up no really because first also way think any after could love know did life your real never ", P
" very people then where ", P
" not like more good because also think did real ", P
" very even much well into most them too then after being made best know where ", P
" up also life real while ", P
" very well into because people dont too then many being made could watch know scene plot your another ", P
" not more very even up really get well most also then being little could best seen scene plot scenes ", P
" very great think after make scene did where real better scenes another ", P
" not more very well people many any being acting make little best scene scenes ", P
" great little ever plot another ", P
" not like very even no really much get great because first dont most them way too think many any after make made know scene ever did character does another ", P
" not more up good get great people most movies them then think being best seen scene where scenes ", P
" not more very even up good no really much great because first also movies them way too two any being make seen watch love scene ever plot real scenes while another ", P
" not more very really much well into most way too characters scene scenes ", P
" not even no really into people most them then after made know scene never ", P
" good much most too any acting best love know life scenes never another ", P
" more very even no any acting best ever better ", P
" not like good really much into because dont too make best watch ever while ", P
" like even good really most also too made little know ", P
" like good much people movies them too know scene your ", P
" even up get well any best scene ever ", P
" not like very up much get great into movies way too two any being acting made little could best show did better never another ", P
" more up good much well great also them too make best did plot ", P
" not more no great because think seen plot does ", P
" not more very even up good no much get well into people also them too two any being make little know scene ever did where life plot does while ", P
" not up much get into too many any know scene where plot ", P
" very much way too many any acting show where your scenes ", P
" up no well into people first also then best know characters scene where better scenes while ", P
" really much most movies them too many little character better scenes ", P
" very even good into because also too many after made little where ", P
" like very up good much well great because also too scene did where scenes while ", P
" not more up really much get into people first dont most also them way too then think any after being little characters scene did life character plot better does never ", P
" not very up good really much well bad into most them too many make little watch scene did character ", P
" good much well great way too best seen did ", P
" more good no dont most way then many after made little did plot while ", P
" not like up get well into people also them too then many made little could love character while ", P
" not like more very even up good no really much get well bad into because first most also them way too then many two after being make made little best scene ever plot your better does while another ", P
" not like even much well into because first also them too think two acting make best love scene ever life plot your real does never another ", P
" great many make ever ", P
" very get people dont many any scenes ", P
" like even really great acting ", P
" really also acting watch love another ", P
" life real ", P
" even great being another ", P
" good get great them way then best ", P
" like more good really because know did plot better scenes never ", P
" bad great people dont most movies ", P
" even much get well bad first too after little best characters did plot while ", P
" not like into dont movies too many being made could know characters scene where character real scenes ", P
" up into first way after love life another ", P
" not up good well way too being know did ", P
" not like more very even no into first most any being acting could scene ever life character while ", P
" more even too little best show better ", P
" not like really get great too many know characters show your ", P
" not like even good first seen show ", P
" not like get great then best show ", P
" like more very really dont think little ", P
" like more very really much too little real ", P
" not like even up good no great think acting love scene character never ", P
" more even good no bad first dont most also way think make seen love ever character scenes ", P
" not very up well great people most many little best character does ", P
" like really much into movies them then scene did life does while horror ", P
" most acting never ", P
" not very up good well seen watch horror ", P
" not like no first dont movies them way seen love does scenes never another ", P
" up well most movies acting character scenes ", P
" not like more even up no really well bad great into people dont most also movies then think many any after being little know scene did character scenes while ", P
" great first then acting watch love did your another ", P
" not like very much into because them way could best seen ever life ", P
" very up good no much get well bad great first most also being acting made best seen did life better while another ", P
" get bad great way two character ", P
" very good no great many little character real ", P
" like more very well because seen watch ever another ", P
" not like more very even up good no really get well bad into first most also way then any being best seen know ever life does ", P
" movies any made best ever never ", P
" good people also any character your real does scenes ", P
" not like more no much bad first movies them way too many best where better another ", P
" up great first movies think two made seen love never ", P
" more up good because them make life ", P
" not like more very up good no get great because first then many any after acting made little could best watch love scene life your real scenes never another ", P
" good no great while another ", P
" not up get well great into most way then any little watch characters ever did where real does while ", P
" not more very even up good no really much well great first also being make made little scene never ", P
" not like even good really much get well into because movies then think being little characters where while another ", P
" well great also being characters another ", P
" not like up really much well because people first then think best seen know ever better does horror never ", P
" good really great acting ", P
" not like even into because people first dont also them way think after make where your does ", P
" up good really also did horror ", P
" really because also think characters real horror ", P
" not like very good no really get most them way any being could know ever plot your ", P
" not more very up no get well great because most them many any being acting best seen watch know ever horror ", P
" not like because first too think make best characters better horror ", P
" like well into them way after being make show does horror never ", P
" up well great could watch love ", P
" not like more very even up much well because people dont then many after acting make little could watch love know ever did real better while horror never ", P
" not up good great into most movies them then two made show did does horror ", P
" even up get people most being make watch love characters ever real does ", P
" not like more even well bad first way any little know real scenes while horror ", P
" like more even get also way any after love know does never ", P
" not more into also way then many any little best seen life while horror never ", P
" like very up much also then after where another ", P
" not very good great because way life real ", P
" like more very even good really great because first dont most movies being best show character better while never ", P
" not like very up good really much get well great because dont most also way too then think little best seen love know where character better does horror never ", P
" like more very even up good really get well great into dont most also after being acting make know characters where plot horror never another ", P
" not very even up well bad great first dont most movies two being make seen characters real while horror another ", P
" like more very up really into dont most then know horror ", P
" not like good no great because dont think many two made love did where life character never another ", P
" not very even get well great into also movies think after seen horror never ", P
" more very even good much great first most also movies ", P
" like even up into first dont also then after acting best plot real better ", P
" like no really get first dont movies think best seen love know ", P
" not like very even up good get bad great into because people think many love know plot does horror another ", P
" like very really well great too acting could watch know did your ", P
" not very even well people then many after make love know life character your real never another ", P
" more really people most them two after being love characters show where life while ", P
" not like more even up good no well into dont them way two after being make little love characters did where life character plot your while ", P
" not up much them being make characters did life does never ", P
" like up really well people most also them think many two after being made best characters where life character never ", P
" very even really people most two any best know scene life real scenes never ", P
" up good really much well think made could best watch life your ", P
" like more no much well into most also any little know show better does ", P
" not very up good get well first watch love ever character does ", P
" very even great being acting real scenes ", P
" like very up good no people also them life ", P
" not like up good much bad because many after love characters life better ", P
" not like more very even get well great into because most them two any make could best characters show life character never ", P
" not very even up no well great also many being watch did life real ", P
" like even up well great into movies them think two after best ever ", P
" more even good much great into first way never ", P
" like very even get well great into first also movies them way too think two after little watch characters scene ever where scenes while another ", P
" not very into people first also movies then two after could seen watch ever did life real ", P
" more no into people dont two after could know while never ", P
" not like good great first them many any best watch did ", P
" no dont think many acting made little watch characters your ", P
" not more really much ", P
" not like very even up good no really most movies them then think love ", P
" not more even much get well great into because first most them many after make could best watch love scene ever where character your real ", P
" not more even up good no well movies them way then many after little seen love know scene better does never ", P
" not like very get well many any make could best love show where your better does another ", P
" not like more very up good really much great people most too two little could seen plot ", P
" not more even up much get well first them way too then two being make seen watch love characters did where ", P
"  ", P
" not more even up into first also way then two after being make made best love character plot your while another ", P
" not very no then best ", P
" like very much bad great also movies many after make characters plot real better ", P
" like very up really much get into because people first most way too many two any after love scene where your better ", P
" not more very good no really much well because most also many two best love life character plot ", P
" more really into too any made love another ", P
" not like very even up good no really much get well great into because first movies way too then think acting make made seen watch love know scene ever did where while ", P
" very get way many little best watch love know where another ", P
" not much great then make ", P
" not very really get people many any love never ", P
" very really many plot ", P
" not no really seen characters plot ", P
" not like also acting never ", P
" not very really well great movies too being made character scenes ", P
" not very good much great also then acting best seen real ", P
" also movies think ", P
" not very up much think plot ", P
" not more get first think make love characters did where character ", P
" not very really into them many after make best watch scene ever where plot does another ", P
" not two any seen love where never ", P
" not like even them little could plot ", P
" not like even really get first also them many love character plot does while never ", P
" not like very much get people also them being could love characters life real another ", P
" not very great into dont also acting know ever did character never ", P
" not like more even up really much get great into because people dont most too many two being make made could watch love scene ever where plot your another ", P
" not more very even no really get great because people dont most also movies too then think many two could seen watch love characters scene ever where life character real better while never another ", P
" not like more even no much great because people first them too make made best love know characters scene ever ", P
" not more very up no really get well great because first dont also movies too then many two after acting little could know characters did where life character plot ", P
" love characters plot ", P
" not like more very no great people most movies them way then think many two after acting make could watch characters life scenes while never ", P
" like more well because many best watch ", P
" more very good get acting watch love characters character plot your better ", P
" not very really well bad great also movies made best seen ever ", P
" more very no much well great most way too many acting watch scene where plot better does another ", P
" not very much well first most ", P
" like more even no much get into first too many after make little life ", P
" like more up good much great because better ", P
" up no really people first most them watch love real ", P
" not good get them way could best seen your while ", P
" not very no great also best show ", P
" not like into first think seen characters real ", P
" not very up good well way too little life character while ", P
" not very good too any little character ", P
" not like more very even good great because first movies them way then many after make made did real while ", P
" not even no much into because most way too then two being watch did life character ", P
" not more very even good into because first too then many after being acting make made best scene show where plot better while ", P
" very good really get bad great first too your another ", P
" more good really think acting character ", P
" like very up no made real horror ", P
" because ", P
" not well great people scene never ", P
" not like more really into people way then any made know did ", P
" like very great also them many made love ever another ", P
" not like more very up much think two after little know scene your never ", P
" not up well great most think any being best ", P
" very get also best seen where plot ", P
" no really bad into first way scene ", P
" more very up really well into then make little characters ", P
" not up good get bad great into because most also many any best love scene real ", P
" not like more very up really much bad great into first them after scene did where character another ", P
" not more up no great too many little best ever ", P
" not even great think many little best scene show did your better scenes ", P
" not very get any after best scene better ", P
" not much great most then many any acting little seen watch know scene ever life real does ", P
" very no best watch show where ", P
" good most way characters character plot scenes ", P
" like good no really because show did where your real never ", P
" like much make love know did life your never ", P
" not even into people dont also love characters character ", P
" like more up really much great first too think show never ", P
" not like even up get well also acting little could best love ", P
" like get well into then seen love know characters ", P
" not like more no them way after could best seen watch ever never ", P
" not like more even much great into people dont most also them way too think after being made seen watch know did life ", P
" really well also movies then many being show real ", P
" very no well into dont most little seen where scenes never ", P
" more very good much also being best watch does scenes ", P
" very up good real ", P
" very up good really make best scene ", P
" good too ever ", P
" really well bad movies acting little could character plot your ", P
" like good much get bad because way many acting little best ever character plot another ", P
" not bad most also love character ", P
" good great people acting life ", P
" not very even good great people first way being acting best love life your while ", P
" more no great being acting where life character ", P
" not well great many acting love ", P
" not like very up good into them think any acting show life character does never ", P
" like people then many after being acting scenes ", P
" not like more well also too think being make best love characters life ", P
" not get bad people most way too think little love know life does never ", P
" like more even great made little love scene where character real ", P
" not like really much great also think many made best seen scene did better never another ", P
" like more up good no really well people many made ", P
" not like most way many any being made ", P
" not more even up no bad great because dont most also after make horror another ", P
" like very get into people dont then think any being plot while ", P
" not up good bad into people too think any acting made could plot scenes while horror ", P
" not like more very even up good no get bad great into because people dont also them way too then think many acting make made best seen watch love know ever where plot your another ", P
" not more up good really into first dont most them way two does ", P
" no two ", P
" not good really get great movies could watch know never ", P
" not like very even no much well people first dont most also movies too after acting little watch love know characters scene better ", P
" really get well because most acting ", P
" more very up good really great because people most also movies too many after acting make could character plot better ", P
" like more many being made could characters better while ", P
" not very well first too any seen ever ", P
" not like good much most little characters while ", P
" not more no really get dont movies then being little know characters scene better does never ", P
" like very up good no well most movies way two any after acting seen characters show where plot real while ", P
" more very even good well because way then after acting your ", P
" not very up good really well into most also too many after being little could best show ", P
" not like very much people first most best seen scene ever life real ", P
" not very up well also any acting know ever character ", P
" not more very good much them think two know characters did ", P
" not like more very even up good really well dont movies too think many after being made little best know did ", P
" not any after being acting life another ", P
" great movies after made best ever ", P
" much because after acting love character another ", P
" not like more very really people first most movies think many two acting make seen characters scene where character plot real scenes horror ", P
" not like more up good no really get well bad great dont also movies them way many any being acting make made little could best seen watch love know ever where your better scenes horror ", P
" not very into way any make scene your while ", P
" not much people dont also too think many being make know show life character real ", P
" get best seen ever never ", P
" not more very good much get well great also think two acting watch another ", P
" more them then think after could best seen real never ", P
" not like really dont most best ", P
" great into them too love characters ", P
" more much into little ", P
" not like good much because people dont too after seen ever real ", P
" much first movies could know characters better ", P
" very great acting could better ", P
" not even up good really most little ever did your ", P
" like more up no really much into people first dont most also them too two after made little love know characters scene where character scenes while never ", P
" not like very no well dont also then being make made know ever where your while ", P
" like more very even good most could love where never ", P
" not up good no much well into first dont most too think many any make little seen real ", P
" like great first them after made seen never ", P
" not like even no get great into because people dont most think many make seen love ever life plot real does ", P
" not like up good really get great people most them then two after make your scenes ", P
" very even many any best ", P
" not like no into also being best know does ", P
" not like more very even no really much great people first most them too many any being make made little seen watch love scene ever your better does ", P
" not like more even up no much get great people first most then seen scene did where life does another ", P
" not up no really much people dont them way too many could seen watch know your another ", P
" not very most real while ", P
" like more up after make seen watch ", P
" not like more very up good no get great first dont also way too then think two any after being acting make made could watch know where plot your real horror ", P
" not like up most also two any make made better does while horror never another ", P
" like more very even up good really get well bad great into because dont most also movies think little watch characters where better another ", P
" not like really into because people dont movies way any being acting made best seen characters ever where plot horror ", P
" not like even good get great movies being seen did character plot real does horror never ", P
" not like more very even up because dont them made best seen watch love ever while horror never another ", P
" not very even up good no much well into people first also way too think many any after being made little could where plot your real does horror another ", P
" not like very up good really great first most way then think acting ever where character plot real ", P
" not more really much well first most also movies think after acting best seen ever plot better scenes while horror never ", P
" not like very good no really well because people first most them then two after seen characters scene ever show did character real does horror another ", P
" good people them way any made know real ", P
" not could show where another ", P
" not like more even good bad because way then many show horror ", P
" not up get great way think could watch horror never ", P
" like more even great first way think after being little best show plot better horror ", P
" like get dont also too any know show where horror ", P
" not good because too being scenes while ", P
" more well after made best while ", P
" not more even bad great most them then could characters better ", P
" most best watch did life does ", P
" into them too after characters life does scenes while never ", P
" not more no well great because acting make best seen ever did ", P
" very good really them characters scene life does ", P
" up because most movies watch character plot another ", P
" not like more very even up good really much get well into first dont most many two being acting made little best seen watch love know scene show did where better scenes another ", P
" not like very good really great most also then many best watch scene where real scenes ", P
" not very much get any could love know scene where your better ", P
" not even no get people dont any know did real ", P
" not like more no well great into because movies them too made could where plot your better ", P
" more movies best seen character scenes ", P
" not more very really much well great also them many two could best characters did character better scenes ", P
" not like more very good people dont many after seen characters show another ", P
" not like more very even good really much get well because most movies way then think many any make could best seen watch ever show did character plot real does ", P
" very well great movies characters ", P
" most acting ever show character real ", P
" very up really first any being little best watch know ever does never ", P
" even much into movies way many love character ", P
" very up no really get well movies two after being acting best love your while ", P
" not like good really get well great people first dont way too being life character real ", P
" like even really great first too think make little love characters life real another ", P
" not like more get first movies way too think many little life does while another ", P
" not good really people also made could seen watch ", P
" not more well dont think any little love did plot your ", P
" not up great too watch love show while ", P
" not like much love never ", P
" not like more good really great because also way think watch characters character your scenes ", P
" not being know life real ", P
" not like more good no get well bad great because people first dont also them too think acting make could seen know did where life real better does ", P
" like more very even much great people first dont most also movies then think many two best love plot your scenes never ", P
" like no get way made characters ever where life your real ", P
" not very great into also way many two after made best love ever never another ", P
" more no really bad because first way many character real ", P
" not like good really get bad into dont way think any make know where real another ", P
" like good into most also after being made seen love know ever never ", P
" because being life ", P
" much think many life your ", P
