@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" awful bad sorry waste worst ", N
" avoid beautiful plot poor poorly ", N
" bad dreadful plot well ", N
" horrible minutes ridiculous well ", N
" amazing bad boring minutes plot stupid well why ", N
" favorite great love script terrible well ", N
" bad poorly predictable ", N
" awful bad forgettable ", N
" atrocious worst ", N
"  ", N
" well ", N
" bad nothing poorly skip sorry wooden worse ", N
" annoying awful nothing poor remotely ", N
" great minutes ", N
" predictable well ", N
" well ", N
" excellent great loved script wonderful ", N
" awful bad disaster nothing plot poor why ", N
" excellent love why ", N
" cheap couldnt different favorite great perfectly supposed well ", N
" cheap great love loved nothing poor ridiculous well ", N
" great plot rubbish terrific waste ", N
" great plot script stupid wasted why ", N
" amazing nothing plot poor ", N
" avoid bad decent great nothing well ", N
" cheap well ", N
" decent mildly plot ", N
" excellent love nothing ", N
"  ", N
" avoid lame terrible wasted ", N
" bad horrible ", N
" bother crap fantastic love loved stupid ", N
" bad cheap couldnt excellent well ", N
" bad great minutes plot ", N
" nothing plot poor worst ", N
" couldnt love ", N
" awful bad minutes painful ", N
" amateurish awful bad dreadful great pointless ridiculous terrible worse ", N
"  ", N
" bad ", N
" bad love loved minutes plot script stupid ", N
" couldnt why ", N
" decent love poorly supposed terrible trash waste well ", N
" avoid bad lame loved plot redeeming well ", N
" amateurish decent fails minutes nothing why worst ", N
" forgettable none nothing poor predictable remotely terrific today ", N
"  ", N
"  ", N
" bad plot sorry well ", N
" plot poor ridiculous wooden ", N
" bad ", N
" annoying lame terrible why ", N
" bad boring favorite minutes ", N
" bad bother dreadful love stupid wooden ", N
" bad lame none poorly why worse ", N
" annoying bad bother love stupid supposed terrible ", N
" favorite script well ", N
" bad great plot ", N
" worst ", N
" plot ", N
" embarrassed favorite stupid well ", N
" bad crap different dreadful great love nothing pathetic plot why ", N
" bad stupid supposed terrible ", N
" bad nothing ", N
" amateurish bad dreadful terrible wonderful worse ", N
" avoid crap nothing ", N
" awful bother different supposed trash why ", N
" boring fails love plot predictable supposed touched why ", N
" avoid bad nothing plot ", N
" great nothing plot strong why worst ", N
" wonderful ", N
" different none nothing plot well ", N
" bad boring nothing ", N
" lame nothing pointless stupid supposed waste wasted why ", N
" bad bother decent minutes plot terrible worst ", N
" awful cheap different dreadful well ", N
" avoid awful worst ", N
" bad horrible loved predictable script ", N
" bad boring stupid waste worse ", N
" awful bad none nothing well ", N
" awful ", N
" annoying avoid bad boring cheap crap decent minutes plot poor predictable script sorry stupid supposed terrible waste well why worst ", N
" bad boring great horrible laughable nothing turkey ", N
" awful nothing predictable ", N
" amateurish awful bad cheap decent love minutes ", N
" lame stupid well ", N
" bad none nothing script well ", N
" pathetic terrible why worst ", N
" amateurish bad poorly worse ", N
" bad different minutes poor script ", N
" sorry stupid terrible why worse ", N
" boring decent minutes sorry ", N
" different love nothing plot ridiculous ", N
" beautiful nothing sorry terrible ", N
" bad couldnt stupid waste why worst ", N
" cheap well wooden ", N
" bad great minutes nothing ", N
" crap decent ", N
" bad boring nothing plot poorly script waste why ", N
" nothing plot well why ", N
" well why ", N
" crap horrible nothing plot worst ", N
" awful bad fails great why ", N
" bad couldnt horrible script stupid ", N
" bad lame ", N
" plot stupid well ", N
" boring love redeeming well ", N
" bad different script strong ", N
" excellent plot stupid ", N
" boring minutes none nothing plot ridiculous strong supposed today waste well worst ", N
" annoying awful bad script ", N
" bad script waste worst ", N
" bad cheap enjoyed nothing plot remotely script worse ", N
" bad beautiful great waste ", N
" annoying great love poor wasted ", N
" nothing ", N
" nothing worst ", N
" well why ", N
" excellent wasted well ", N
" bad great horrible waste ", N
" bad great supposed well ", N
" great nothing plot script waste well ", N
" annoying ", N
" amazing bad boring great love nothing plot script why worst ", N
" boring great love nothing waste ", N
" embarrassed ", N
" amateurish avoid decent strong ", N
" amazing fails love ", N
" annoying avoid different great love none nothing poorly strong worst ", N
" none nothing ", N
" bad great plot well ", N
" plot ", N
" beautiful different nothing plot strong well ", N
" nothing well worse worst ", N
" boring decent fails laughable love minutes plot remotely strong why ", N
" bad nothing worst ", N
" bother cheap script ", N
" bad ", N
" awful plot worse ", N
" bad crap fails ", N
" amateurish pathetic ", N
" bad cheap decent predictable script ", N
" love nothing script skip stupid trash waste wasted worse ", N
" bad none nothing plot ridiculous rubbish why ", N
" dreadful script wasted ", N
" different nothing ", N
" well ", N
" couldnt plot turkey why worse ", N
" avoid terrible why ", N
" avoid horrible minutes poorly terrible ", N
" couldnt favorite great minutes today ", N
" poor why ", N
" crap nothing poor script ", N
" couldnt plot ridiculous supposed why ", N
" boring great poor superb ", N
" decent different love perfectly sorry ", N
" bad nothing plot pointless supposed why ", N
" bad great poor script skip ", N
" awful poor ", N
" awful dreadful waste wonderful worse ", N
" great minutes script terrible worst ", N
" supposed ", N
" annoying fails horrible love plot rubbish waste well worse worst ", N
" bad favorite horrible worse ", N
"  ", N
" bad different favorite great horrible love minutes pathetic script terrible unfunny well worse ", N
" crap worse ", N
"  ", N
" bad boring favorite sorry strong ", N
" bad poor supposed terrible today well worst ", N
"  ", N
" cheap great today well ", N
" great love poor strong today well ", N
" bad nothing terrible well ", N
" awful bad none nothing stupid worse worst ", N
" predictable ", N
" awful strong stupid well why ", N
" awful bad couldnt great well why ", N
" annoying bad none stupid supposed today ", N
" awful bad crap great painful skip why ", N
" annoying wonderful ", N
" great plot stupid well worst ", N
" annoying supposed well worse worst ", N
" loved minutes ", N
" avoid couldnt plot ", N
" annoying bad stupid ", N
" annoying horrible well worse ", N
" awful boring crap favorite horrible love none pathetic perfectly plot script stupid supposed ", N
" waste ", N
" minutes ", N
" why ", N
" amazing awful bad mildly today waste ", N
" couldnt fantastic lame minutes remotely ", N
" awful ", N
" well ", N
" cheap lame nothing pathetic plot supposed ", N
" bad minutes plot well ", N
" great well ", N
" bad crap minutes ", N
" bad boring bother minutes nothing plot waste why worst ", N
" minutes plot script ", N
" awful bad favorite nothing plot turkey worse ", N
" bad well ", N
" avoid awful ", N
" awful horrible plot poorly terrible unfunny waste ", N
" love none supposed ", N
" boring fails minutes none nothing terrible ", N
" none plot remotely script why ", N
" bad boring great nothing stupid well why worst ", N
" bad great minutes perfectly sorry today worst ", N
" love plot wooden ", N
" well why ", N
" bad nothing well ", N
" couldnt decent horrible loved ", N
" none perfectly plot ridiculous today ", N
" bad love minutes waste why worst ", N
" enjoyed love well ", N
" bad different stupid ", N
" bad disaster horrible waste worst ", N
" bad ", N
" bad cheap couldnt crap painful plot stupid ", N
" bad crap wasted well ", N
" perfectly stupid waste well ", N
" bad couldnt nothing painful plot poor script stupid well why wooden worse ", N
" annoying bad love nothing poor well worse ", N
" awful couldnt pathetic waste why ", N
" bad love plot ", N
" minutes ", N
" bother love nothing plot waste wooden worse ", N
" bad plot ", N
" well ", N
" bad beautiful boring cheap great plot why wonderful ", N
"  ", N
" boring fantastic waste ", N
"  ", N
" lame script well ", N
" bad cheap wooden ", N
" annoying great plot poorly today why ", N
" bad brilliantly cheap fantastic great nothing plot predictable supposed well why wooden worse ", N
" bad fails love minutes wasted ", N
" annoying bother plot poor redeeming stupid well ", N
" bad plot ridiculous well why worse ", N
" bad horrible plot script worst ", N
" annoying bad boring nothing predictable ", N
" bad couldnt nothing pathetic supposed well ", N
" boring cheap minutes skip ", N
" annoying beautiful fails minutes poor redeeming stupid turkey waste why ", N
" boring cheap lame love terrible well why ", N
" bad crap painful remotely stupid terrible worst ", N
" bother fails horrible love poorly ridiculous touched well worse ", N
" love ", N
" amateurish awful bad fantastic great poor script sorry why wooden ", N
" bad poor strong terrible ", N
" perfectly ", N
" cheap couldnt great mildly worse ", N
" bad minutes poor today ", N
" bad nothing trash worst ", N
" bad dreadful plot why wooden worst ", N
" bad couldnt nothing plot ridiculous worse ", N
" bad nothing plot pointless ridiculous ", N
" mildly wasted wooden ", N
" love plot ", N
" bad boring cheap plot why ", N
" awful horrible love minutes nothing ", N
" boring decent forgettable minutes nothing poor poorly rubbish script sorry stupid supposed terrible well ", N
"  ", N
" bad great supposed well wooden ", N
" plot well ", N
"  ", N
" awful ", N
" awful bad love painful terrible well worse worst ", N
" cheap love script ", N
" great love nothing wasted ", N
" plot well why ", N
" fails great well ", N
" bother excellent why ", N
" bad bother great laughable nothing plot skip ", N
" great ", N
" avoid bad different forgettable poor stupid supposed well why ", N
" well ", N
" awful bad dreadful pathetic script ", N
" bad nothing plot well ", N
" annoying brilliantly forgettable horrible minutes painful remotely script stupid wasted ", N
" love script supposed ", N
" awful bad beautiful great ", N
" turkey well ", N
" awful crap horrible terrible ", N
" cheap minutes plot ", N
" bad cheap decent laughable well worse ", N
" plot waste well ", N
" amateurish awful bad minutes worse ", N
" bad love waste worse ", N
" bad crap love nothing ", N
" awful bad boring great love ridiculous ", N
" love minutes ", N
" horrible ", N
" awful bad decent dreadful painful waste ", N
" fails strong supposed well ", N
" avoid bad couldnt laughable love mildly none nothing painful pointless ", N
" bad laughable ", N
" turkey well ", N
" atrocious terrible why ", N
" horrible lame terrible ", N
" nothing predictable well ", N
" great lame love minutes predictable terrible worst ", N
" awful poor ", N
" beautiful different great stupid ", N
" awful bad plot ", N
" bad decent minutes rubbish terrible worse ", N
" none poor supposed ", N
" amateurish cheap plot pointless poor poorly predictable script today well worse ", N
" amazing awful great horrible why worst ", N
" great ", N
"  ", N
" different well why ", N
" bad couldnt great laughable stupid well wooden worse ", N
" different love nothing ", N
" poor ", N
" minutes waste why ", N
" fails minutes why ", N
" love ", N
" love ", N
" bad boring crap horrible lame love loved ", N
" awful nothing poorly stupid unfunny ", N
" bad different fails predictable supposed ", N
" crap unfunny waste worse worst ", N
" horrible plot poor ", N
" bad ridiculous script worse ", N
" bad couldnt poor waste ", N
" great minutes plot supposed ", N
" bad crap love predictable remotely wasted worst ", N
" enjoyed plot ", N
" boring minutes nothing unfunny waste ", N
" bad script stupid unfunny well why ", N
" ridiculous terrible ", N
" bad boring embarrassed none nothing plot predictable supposed unfunny well ", N
" bad worst ", N
" avoid boring minutes none nothing plot unfunny ", N
" enjoyed script terrible trash ", N
" bad excellent lame ", N
" beautiful great laughable poor predictable ", N
" love ridiculous ", N
" poor well ", N
" amazing awful perfectly well ", N
"  ", N
" amazing ", N
" bad beautiful minutes skip wasted ", N
" avoid bad embarrassed lame love minutes nothing pathetic plot remotely stupid unfunny ", N
" script why ", N
" ridiculous worst ", N
" painful terrible ", N
" plot why ", N
" awful enjoyed love minutes nothing remotely script supposed waste well why ", N
" awful laughable love script terrible ", N
" laughable script ", N
" nothing sorry ", N
" annoying beautiful ", N
" annoying bad different enjoyed great love stupid ", N
" great love well ", N
" great loved ", N
" different lame nothing ", N
" bother nothing ridiculous rubbish script well ", N
" annoying awful bad boring mildly nothing predictable script terrible ", N
" bad love redeeming stupid ", N
" bad crap minutes well why ", N
" minutes nothing plot poor waste worst ", N
" bad great ", N
" couldnt ", N
" bad terrible worse ", N
" bad decent minutes plot pointless stupid well ", N
" crap well ", N
" different love minutes redeeming well ", N
" boring pointless ", N
" great poor ", N
" cheap couldnt love stupid turkey wasted ", N
" awful boring decent disaster laughable none nothing predictable script why ", N
" bad crap horrible laughable love nothing pathetic pointless ridiculous stupid supposed wasted ", N
" bad couldnt great love none poor well why ", N
" horrible love ", N
"  ", N
" amateurish poor script ", N
" different great love plot well why ", N
" great plot ", N
" bad horrible none why worse worst ", N
" awful terrible why ", N
" annoying bother couldnt different favorite great loved plot skip why ", N
" bad worse ", N
" great horrible sorry terrible waste worst ", N
" bad couldnt plot supposed ", N
" bad couldnt plot ", N
" minutes painful supposed ", N
" minutes ", N
" couldnt poor today why ", N
" bad crap minutes pathetic well worst ", N
" amazing decent great nothing terrible why ", N
" lame minutes ", N
" bad couldnt crap great lame plot predictable stupid wasted ", N
" minutes predictable worst ", N
" minutes predictable worst ", N
" stupid well why ", N
" bad plot poor script why ", N
" annoying bad boring skip ", N
" great ", N
" lame well why ", N
" bad couldnt crap lame minutes nothing plot poor ridiculous ", N
" avoid stupid wasted ", N
" plot terrible worst ", N
" couldnt laughable ridiculous supposed ", N
" avoid couldnt crap none ", N
" couldnt great well ", N
" awful bad horrible turkey ", N
" boring trash ", N
" awful stupid well why ", N
" love loved mildly plot well ", N
" great horrible supposed ", N
" avoid bad cheap plot well ", N
" great ridiculous script well ", N
" avoid bad why worse ", N
" boring dreadful minutes plot waste ", N
" painful poor wasted ", N
" bad horrible supposed ", N
"  ", N
" bad excellent great ", N
" bad nothing worse ", N
" bad beautiful well ", N
" bad couldnt great nothing why ", N
" poor why ", N
" bad boring ", N
" boring minutes plot well ", N
" plot terrible ", N
" strong well why ", N
" crap love plot redeeming well why ", N
" bad none nothing well ", N
" nothing ", N
" amateurish waste ", N
" minutes well ", N
" bad ", N
" love ", N
" avoid love supposed worst ", N
" annoying bad nothing plot why ", N
" dreadful ", N
" beautiful beautifully boring nothing today well ", N
" awful bad great plot script ", N
" beautiful excellent poorly ", N
" excellent nothing ", N
" bad boring bother supposed well why ", N
" annoying fails love plot supposed ", N
" plot why ", N
" great ", N
" bad ", N
" minutes nothing plot pointless ", N
" awful bad bother supposed well worst ", N
" amazing bad crap great plot ", N
" avoid great lame nothing terrible worst ", N
" bad great nothing wasted worst ", N
" annoying beautiful great horrible love none painful perfectly plot script sorry supposed waste well ", N
" avoid great ", N
" beautiful boring fails great stupid terrible unfunny worst ", N
" annoying plot well worst ", N
" pathetic plot well ", N
" awful boring decent nothing ", N
" annoying bad boring couldnt different great horrible love minutes none nothing plot supposed why wonderful ", N
" awful bad none plot predictable stupid supposed terrible ", N
" bad plot terrible wasted well ", N
" amateurish annoying bad decent different nothing script why ", N
" bad boring different love ", N
" well ", N
" waste why worst ", N
" bad lame ", N
" stupid well ", N
" couldnt different ", N
" bad fantastic plot ", N
" bad ", N
"  ", N
" annoying bad ", N
" love plot ", N
" excellent great laughable plot why ", N
" awful bad ", N
" different laughable poor supposed why worst ", N
" amazing bad nothing plot ridiculous ", N
" boring fails great poorly ridiculous strong stupid ", N
" excellent fantastic great laughable nothing why ", N
" love touched ", N
" horrible nothing ", N
" great love minutes nothing poor ", N
" brilliantly finest great loved minutes nothing well ", N
" beautiful love nothing ", N
" annoying great nothing why ", N
" bad different fails nothing well ", N
" wasted ", N
" lame painful predictable terrible ", N
" painful ", N
" awful bad great well ", N
" love ridiculous ", N
" bad minutes plot script terrible waste ", N
" bad couldnt none plot ", N
" great poorly ", N
" awful cheap decent minutes nothing why worst ", N
" awful well ", N
" bad well ", N
" loved sorry why ", N
" awful bad ", N
" bad ridiculous terrible ", N
" disaster horrible plot unfunny wasted worst ", N
" cheap terrible ", N
" couldnt pathetic poor ", N
" stupid why worst ", N
" plot script wooden ", N
" bad great laughable none nothing plot poor poorly stupid terrible why wooden worse ", N
" awful bad dreadful laughable script worst ", N
" awful cheap remotely script stupid worse ", N
" avoid awful nothing pathetic poorly waste well worst ", N
" wonderful ", N
" well ", N
" boring bother different painful pointless poor waste worst ", N
" nothing poor rubbish ", N
" avoid great ", N
" excellent fails poor poorly well ", N
" finest ", N
" boring minutes stupid waste ", N
" bad great none nothing well worst ", N
" minutes sorry waste wasted well why worst ", N
" amateurish cheap excellent nothing pathetic poor ", N
" awful bad boring couldnt lame nothing script wasted worse ", N
" beautifully decent ", N
" great worse worst ", N
" annoying minutes script worse ", N
" mstk plot ", N
" nothing plot redeeming waste ", N
" boring decent great minutes nothing pointless waste wasted ", N
" horrible strong terrible waste ", N
" boring nothing plot ", N
" bad minutes trash ", N
" mildly plot script why ", N
" love ", N
" horrible waste ", N
" annoying awful bad painful script ", N
" boring plot ", N
" minutes plot sorry waste why ", N
" awful bad couldnt mildly supposed ", N
" bad boring script skip terrible ", N
" cheap couldnt trash wasted why ", N
" bad bother disaster minutes worst ", N
" boring cheap poor terrible ", N
" atrocious bad couldnt fantastic great perfectly poor well why worst ", N
" minutes script wooden worst ", N
" annoying plot today turkey waste well why ", N
" awful bad great ", N
" annoying awful mildly plot ", N
" great pathetic plot trash waste worse ", N
" bad decent plot ", N
" none ", N
" bother lame redeeming worst ", N
" avoid bad boring horrible love terrible well worse ", N
" plot predictable waste ", N
" bad crap horrible nothing why ", N
" laughable predictable wooden ", N
" bad great horrible minutes nothing plot terrific well worst ", N
" annoying great nothing plot poor ", N
" poorly ", N
" beautiful nothing worst ", N
" crap terrible worst ", N
" plot poor waste ", N
" bad great love strong supposed wasted well ", N
" amazing avoid great love plot ", N
" bad love minutes ridiculous supposed terrible worse ", N
" great ", N
" beautiful great plot turkey ", N
" plot supposed why ", N
" crap supposed ", N
" annoying bad beautiful brilliantly great nothing pointless redeeming waste well why ", N
" script unfunny waste worst ", N
" why ", N
" boring minutes nothing predictable stupid well why ", N
" lame poor script wasted ", N
" minutes script why ", N
" boring nothing plot predictable waste ", N
" minutes plot ", N
" horrible plot unfunny ", N
" great ", N
" why ", N
" different nothing poor ", N
" horrible stupid well ", N
" bad worst ", N
" horrible terrible worst ", N
" supposed ", N
" why ", N
" supposed worse ", N
" bad nothing poor trash worst ", N
" bad poorly well ", N
" bad forgettable great plot ", N
" great poor script ", N
" different ", N
" boring minutes predictable unfunny ", N
" bad boring worse ", N
" why ", N
" nothing ", N
" annoying boring cheap crap decent forgettable perfectly plot poor poorly script stupid terrible why worse ", N
" different great nothing worst ", N
" nothing sorry why ", N
" bad script worse ", N
" minutes poor well ", N
" worst ", N
" forgettable horrible worse ", N
" avoid awful plot script waste why ", N
" bad bother favorite lame love ", N
" decent lame minutes plot poor poorly ", N
" laughable poor wasted ", N
" horrible waste ", N
" bad great stupid well why ", N
" amateurish awful bad boring crap decent different embarrassed plot script strong terrible worse ", N
" awful bad cheap poorly remotely well worse ", N
" nothing ", N
" fantastic great minutes ", N
" fails painful plot poor worst ", N
" awful skip terrible ", N
" crap decent minutes ", N
"  ", N
" bad couldnt crap strong terrible worst ", N
" bad horrible plot ", N
" script why ", N
" awful boring horrible predictable waste ", N
" bad nothing redeeming ", N
"  ", N
" great script why ", N
" awful plot poor terrible ", N
" superb ", N
" couldnt remotely rubbish ", N
" annoying nothing redeeming wasted why worse ", N
" bad plot script ", N
" awful couldnt strong today worst ", N
" cheap different enjoyed great ", N
" annoying script wasted well why worse ", N
" awful bad cheap nothing ", N
" bother favorite perfectly sorry terrible worst ", N
" awful bad excellent minutes painful plot script wonderful ", N
" great ", N
" awful beautiful couldnt horrible love script stupid ", N
" different great poor well worse ", N
" nothing poor unfunny waste worse worst ", N
" great none ", N
"  ", N
" awful none plot waste why ", N
" worst ", N
" nothing well ", N
" avoid poor script waste worst ", N
" terrible wasted worst ", N
" bad great love ", N
" couldnt ", N
" decent plot poorly sorry stupid well ", N
" bad great lame stupid wasted why worst ", N
" bad love poor script well worse worst ", N
" bad great horrible poor ", N
" decent supposed ", N
" fails nothing plot terrible worse ", N
" decent ", N
" bad love skip stupid terrible ", N
" sorry turkey ", N
"  ", N
" boring plot pointless well ", N
" bad horrible laughable ridiculous well why ", N
" stupid ", N
" bother none well ", N
" awful ", N
" waste why ", N
" nothing ", N
" beautiful enjoyed nothing ", N
" fails laughable plot poor well ", N
" love ", N
" bad love ", N
" great horrible ", N
" script ", N
" decent excellent plot predictable well ", N
" stupid unfunny ", N
" great love well why ", N
" beautiful boring painful sorry ", N
" minutes terrible worse worst ", N
" beautiful minutes ", N
" great love loved plot sorry ", N
" different excellent poor why ", N
" boring crap poor terrible worst ", N
" nothing worst ", N
" bad forgettable great poor why ", N
" crap forgettable great horrible lame none predictable terrible waste well why worst ", N
" excellent why ", N
" bad forgettable worst ", N
" great nothing waste ", N
"  ", N
" script ", N
" horrible poor script ", N
" couldnt minutes nothing plot well ", N
"  ", N
" boring ", N
" laughable poor strong why ", N
" boring wasted ", N
" different ", N
"  ", N
" annoying avoid bad boring bother crap love minutes painful plot script well why ", N
" crap fantastic nothing worst ", N
" bad boring decent nothing painful supposed ", N
" annoying awful bad boring cheap decent nothing ridiculous supposed well wonderful worst ", N
"  ", N
" nothing ", N
" avoid stupid worst ", N
" different ", N
" bad fails great love script terrible wasted why ", N
" amazing bad couldnt terrible well ", N
" love plot well ", N
" why wooden ", N
" different plot ", N
" bad beautiful different loved minutes nothing stupid ", N
" awful crap pointless poor worse ", N
" bad boring nothing pointless why ", N
" crap ", N
" different ", N
" bad minutes well ", N
" bad horrible pathetic ", N
" wasted why ", N
" awful bad great worse worst ", N
" plot ", N
" beautiful plot ", N
" bad boring great minutes ", N
" bad love ", N
" bad decent favorite plot ", N
" poor redeeming why ", N
" cheap crap love minutes plot wasted well why wooden ", N
" awful bad boring decent excellent fails great minutes nothing plot script stupid well ", N
" nothing plot poor ", N
" amazing bad cheap great worse ", N
"  ", N
" decent great wonderful ", N
" bad mildly painful plot script supposed terrible well why worst ", N
" bother minutes script why ", N
" awful bad beautiful embarrassed great none plot poor ridiculous stupid terrible wasted ", N
" couldnt great plot sorry well ", N
" nothing perfectly plot ", N
" bad boring poor script terrible wasted ", N
" annoying bad nothing predictable wasted ", N
" bother horrible script ", N
" bad poor script waste why ", N
" different love wonderful ", N
" great nothing plot well ", N
" bad great well ", N
" annoying awful bad dreadful minutes pathetic pointless script waste worse ", N
" minutes plot predictable why ", N
" crap great script stupid well why ", N
" awful bad crap decent great lame love nothing plot redeeming ridiculous wasted well why ", N
" awful decent minutes pathetic plot stupid supposed wasted well ", N
" plot ", N
" bad different nothing why worse worst ", N
" amateurish amazing bad bother excellent favorite love plot script strong why wonderful ", N
" bad boring great outstanding script stupid ", N
" minutes plot script ", N
" why ", N
" love ", N
" bad finest love perfectly worst ", N
" fails love nothing script ", N
" avoid script ", N
" fails predictable ridiculous why ", N
" plot script ", N
" bad plot well ", N
" bad great horrible plot ", N
" beautifully cheap excellent wonderful ", N
" decent love why ", N
"  ", N
" great ", N
" boring ", N
" disaster nothing painful pathetic script sorry strong wonderful wooden ", N
" well ", N
" unfunny well ", N
" love well ", N
" awful bad crap none waste why worst ", N
" waste worst ", N
" plot ", N
" awful bad great poor ", N
" decent nothing pathetic script supposed wasted ", N
" awful bad couldnt horrible minutes stupid waste wasted ", N
" bad boring nothing stupid ", N
" bad boring crap decent fails love minutes nothing stupid why ", N
" avoid plot script waste wasted well why ", N
"  ", N
" atrocious fails great love plot remotely why ", N
" awful unfunny ", N
" awful nothing script ", N
" avoid awful bother couldnt horrible minutes plot remotely stupid terrible why ", N
" love stupid why ", N
" boring fails lame love nothing poor ", N
" trash ", N
" different ", N
" bad fails plot ", N
" plot supposed ", N
" atrocious disaster ", N
" minutes well worst ", N
" awful bad terrible worse ", N
" pathetic poorly why ", N
" cheap forgettable mildly ", N
" crap embarrassed great minutes plot ridiculous script stupid waste worst ", N
" great love plot ", N
" horrible plot poorly worst ", N
" great love plot poorly why ", N
" cheap love ridiculous terrible well worse worst ", N
" embarrassed loved ", N
" love predictable supposed waste wonderful ", N
" annoying atrocious bad poorly remotely script skip stupid ", N
" redeeming waste worst ", N
" bad lame terrible well worst ", N
" cheap nothing unfunny worst ", N
" stupid ", N
" cheap great love plot stupid terrible ", N
" great why ", N
" minutes nothing ", N
" bad beautiful boring sorry well why ", N
" crap ", N
" love plot predictable stupid ", N
" great script supposed ", N
" boring great lame ", N
" boring minutes nothing stupid why ", N
" bad cheap different disaster great minutes none plot strong today well why ", N
" crap great minutes plot waste worst ", N
" bad cheap great nothing plot pointless waste wasted why ", N
" cheap love well why ", N
" horrible minutes well why worst ", N
" bad couldnt decent disaster fails great minutes script sorry supposed ", N
" bother decent horrible plot worst ", N
" bad waste well ", N
" plot worse ", N
" crap ", N
" bad different favorite laughable ridiculous stupid well why ", N
" great well why ", N
" bad cheap great horrible love nothing well ", N
" couldnt disaster horrible mildly minutes plot ", N
" bad horrible script skip turkey ", N
" bad bother great well why worst ", N
" bad favorite loved plot ", N
" bad bother lame minutes poor redeeming well why worst ", N
" cheap fails plot ridiculous why ", N
" awful boring bother crap laughable loved minutes plot terrible turkey well worst ", N
" amazing bad cheap great horrible none plot predictable stupid supposed waste well why wooden worse worst ", N
" avoid cheap couldnt supposed ", N
" finest wonderful ", N
" boring stupid terrible ", N
" bad boring decent minutes plot supposed worst ", N
" minutes none waste well ", N
" bad boring horrible plot supposed worst ", N
" plot ", N
" supposed ", N
" plot ", N
" different poor poorly redeeming sorry waste wooden ", N
"  ", N
"  ", N
" different disaster finest well worst ", N
" bad dreadful lame none nothing poor script terrible why ", N
" favorite why ", N
" plot well why ", N
" bad bother couldnt enjoyed horrible supposed waste worst ", N
" bad plot ", N
" boring couldnt crap favorite great nothing plot remotely stupid ", N
" nothing sorry well ", N
" bad decent different none nothing painful sorry terrible well worse worst ", N
" disaster nothing ", N
" bad minutes ", N
" plot ", N
" embarrassed excellent laughable none worst ", N
" bad plot script terrible waste worst ", N
" avoid ", N
" bad boring love nothing ", N
" nothing waste ", N
" bad boring cheap minutes well ", N
" boring different disaster poorly wasted ", N
" minutes nothing poor why ", N
" annoying bad boring minutes nothing supposed well ", N
" bad wooden worst ", N
"  ", N
" awful why ", N
" bad enjoyed plot well ", N
"  ", N
" predictable well ", N
" love ", N
" boring waste ", N
" lame poorly predictable script worst ", N
"  ", N
" plot ", N
" fails predictable well ", N
" different fails great strong well ", N
" bad love plot worse worst ", N
" nothing script strong ", N
" cheap mildly strong ", N
" beautifully great supposed waste well ", N
" script ", N
" skip supposed well worse ", N
" love ", N
" awful bad enjoyed great minutes poor waste ", N
"  ", N
" awful bad script trash turkey worst ", N
" different great why ", N
" different fantastic stupid why ", N
" awful bother mildly terrible ", N
" bad nothing terrible ", N
" worst ", N
" laughable ridiculous ", N
"  ", N
" bad boring fails nothing why ", N
" superb ", N
" different love nothing ", N
" love unfunny well why ", N
" bad beautiful love none nothing pointless script wonderful ", N
" annoying decent predictable terrible well ", N
" annoying couldnt dreadful fails minutes poorly script well why ", N
" great love plot ridiculous why ", N
" well worst ", N
" bad ", N
" minutes nothing sorry ", N
" great minutes plot waste wasted ", N
" bad beautiful plot poor script ", N
"  ", N
" amazing awful love pointless poorly well ", N
" avoid ", N
" awful bad couldnt minutes outstanding plot well why ", N
" bad cheap script ", N
" avoid awful bad boring crap great lame minutes nothing poor remotely script sorry strong terrible well why ", N
" bad boring none rubbish ", N
" decent minutes plot well worse worst ", N
" great nothing ridiculous ", N
" poor sorry why ", N
" awful love waste ", N
" boring sorry ", N
" bad boring ", N
"  ", N
" poorly script waste ", N
" awful dreadful ", N
" bad plot predictable ", N
" bad great script well ", N
"  ", N
" great plot why worse ", N
" decent pathetic plot ", N
" bad different terrible ", N
" bad beautiful bother ridiculous worst ", N
" bad crap lame plot stupid worse ", N
" annoying bad cheap well ", N
" awful couldnt horrible nothing pathetic plot ridiculous ", N
" avoid bad decent dreadful laughable plot script why ", N
" bad supposed why ", N
" enjoyed love ", N
" avoid couldnt crap different fails laughable love minutes plot rubbish sorry supposed well why worse worst ", N
" bad cheap great why ", N
" awful worst ", N
" bad horrible well why worst ", N
" bad mstk wooden worst ", N
" annoying enjoyed sorry ", N
" great love nothing ", N
" love minutes poorly supposed well ", N
" annoying boring bother cheap couldnt decent minutes nothing plot predictable script waste well why ", N
" bad lame none plot well worse ", N
" bad cheap horrible well why ", N
" boring nothing poor script stupid well ", N
" plot waste ", N
" great poor poorly ", N
" love ", N
" bad horrible love nothing sorry stupid terrible turkey well worse worst ", N
" plot strong well ", N
" great horrible well ", N
" bad couldnt predictable script ", N
" avoid bad well ", N
" awful bad loved ", N
" bad disaster enjoyed love minutes terrible well ", N
" couldnt favorite great love minutes well worse ", N
" bother decent nothing plot waste well worse ", N
" bad boring great minutes script why ", N
" crap worse ", N
"  ", N
" decent love minutes remotely stupid today well ", N
" different ", N
" bad couldnt love plot ridiculous terrible well why ", N
" lame why ", N
